	coverage	Sample	totalbp	genome_number	ags	acn
1	1310.43	10714	5043411414	873.246334299463	5.77547390227058	1.50064185617367
2	955.571	10716	3874993792	733.951581541474	5.27963136731933	1.30195373105277
3	1656.89	10718	6014916621	1047.75597988632	5.74076095624156	1.58137012034021
4	1277.36	10720	5027957459	883.613297088005	5.69022385196093	1.44560975282922
5	613.573	12459	4544465038	532.368208435625	8.53631934813313	1.15253501294339
6	705.56	12461	4525043405	587.672636052699	7.69993892414997	1.20060039674321
7	739.773	12463	3843790496	615.496924275771	6.24501982771534	1.20191177375981
8	828.042	12465	4794533214	670.329226680766	7.15250510221796	1.23527658804342
9	936.425	12467	5827926509	762.909881318686	7.63907592719399	1.22743855195766
10	800.789	12469	4640827514	652.397812867606	7.11349336626575	1.22745506530769
11	763.239	12471	4806717239	648.590009924136	7.4110257103131	1.17676650630076
12	734.204	12473	4667571488	601.640417472898	7.75807501032834	1.22033689671966
13	851.643	12475	5120011688	688.64422800154	7.43491556279848	1.23669518362404
14	1009.87	12477	6340556562	792.444365738628	8.00126398285392	1.27437337390709
15	884.214	12479	5197478798	679.129473439584	7.65314862816416	1.30198148450505
16	1231.77	12481	4231985054	734.846126553157	5.75900845235505	1.67622847218056
17	997.089	12483	4180211699	678.135084649311	6.16427581115603	1.47033979301577
18	957.284	12487	3848230669	621.471182099944	6.19213051198428	1.54035139129919
19	983.486	12489	5235033065	755.046382787843	6.93339268201085	1.30255044248897
20	822.466	12491	5015054633	710.789899879091	7.05560761886612	1.15711548537747
21	736.125	12493	4124294890	585.637981209376	7.04239653562615	1.25696253251857
22	814.73	12495	4705591587	656.610296570067	7.16649070473092	1.24081209852465
23	901.193	12497	5179401430	741.622932229585	6.98387442582022	1.21516334087821
24	391.297	12560	3313084313	370.574905040267	8.94039037165779	1.05591877560484
25	544.495	12562	3377603163	479.847883923091	7.03890394469543	1.13472418706606
26	735.874	12564	3952215862	573.037553598655	6.89695786459409	1.28416365625383
27	951.527	12566	5330284584	744.53782967529	7.15918570091282	1.27801027976642
28	1045.69	12568	5860053827	858.762903845682	6.82383205045038	1.21767020363505
29	864.897	12570	5025766911	704.775177780855	7.13102145115946	1.22719560402698
30	542.916	12572	3579706521	504.338109576917	7.09783070726695	1.07649211846284
31	843.252	12574	4688372427	680.443535287407	6.89017116610523	1.23926814830245
32	875.42	12576	5076048896	726.922199149354	6.98293283922269	1.2042829356765
33	695.647	12578	4431358556	615.53642069891	7.19918173317579	1.13014758608455
34	958.575	12580	5469320015	793.957137963822	6.88868422926026	1.20733847479268
35	805.315	12582	4508354900	624.54469791993	7.21862648904914	1.28944333797426
36	1585.41	12838	9640272151	1281.00354765479	7.52556241444375	1.23763123287403
37	1802.34	12860	5983834986	938.828945623189	6.37372229935663	1.91977463882264
38	1273.21	12862	5257030592	859.928537246502	6.11333426476699	1.4805997764382
39	2014.88	12884	10961299605	1671.74298963631	6.55680907469194	1.20525703561547
40	1700.5	12886	8016568480	1277.92784513138	6.2730994637462	1.33066980775051
41	787.752	12891	5432976919	623.575311464025	8.71262351013305	1.26328285536277
42	1157.22	12897	5449106714	927.011590061834	5.87814302692432	1.24833390693941
43	1092.84	12901	5212734265	858.419445493128	6.07247924353052	1.2730839285359
44	908.174	12903	5932315201	726.18909669761	8.16910530325719	1.25060263797677
45	1040.39	13274	4064431535	675.247638798298	6.01917178449265	1.54075325883631
46	1239.27	13276	4963723368	789.173174924002	6.28977710561185	1.57033974212231
47	816.972	13278	4631301665	670.549577283675	6.90672520257325	1.21836181496
48	1468.8	13729	6629122549	1171.82046777904	5.65711449089488	1.25343432751591
49	776.115	13731	2901907859	491.230698911622	5.90742367166692	1.57993993803639
50	958.102	13733	4099427100	699.441310680879	5.86100225622843	1.36981042636347
51	1024.72	13735	3821518667	679.507714895124	5.62395184518224	1.50803291491423
52	844.182	13906	4518173804	621.409988974143	7.27084193071766	1.35849441589058
53	1273.63	14185	6044973614	1024.77133766454	5.89885117959732	1.24284311356972
54	962.653	14187	5991292790	774.741429624795	7.73328049966499	1.24254746576056
55	772.243	19453	4081594799	572.917571849706	7.12422693865415	1.34791292490254
56	886.68	19455	4501280573	647.866197770823	6.94785526469509	1.36861593188669
57	969.276	19457	4559148537	699.529729581096	6.51744785704845	1.3856108740088
58	903.625	19459	4631438473	645.211148403568	7.17817490361019	1.40051051851137
