66.6667	8	8	no rank	0	unclassified
33.3333	4	0	no rank	1	root
33.3333	4	0	no rank	131567	  cellular organisms
33.3333	4	0	superkingdom	2	    Bacteria
33.3333	4	0	clade	1783272	      Terrabacteria group
33.3333	4	0	phylum	201174	        Actinomycetota
33.3333	4	0	class	1760	          Actinomycetes
33.3333	4	0	order	85007	            Mycobacteriales
33.3333	4	0	family	1762	              Mycobacteriaceae
33.3333	4	0	genus	1763	                Mycobacterium
33.3333	4	3	species group	120793	                  Mycobacterium avium complex (MAC)
8.3333	1	1	species	2775496	                    Mycobacterium senriense
