90.9091	10	10	no rank	0	unclassified
9.0909	1	0	no rank	1	root
9.0909	1	0	no rank	131567	  cellular organisms
9.0909	1	0	superkingdom	2	    Bacteria
9.0909	1	0	clade	1783272	      Terrabacteria group
9.0909	1	0	phylum	201174	        Actinomycetota
9.0909	1	0	class	1760	          Actinomycetes
9.0909	1	0	order	85011	            Kitasatosporales
9.0909	1	0	family	2062	              Streptomycetaceae
9.0909	1	0	genus	1883	                Streptomyces
9.0909	1	1	no rank	2593676	                  unclassified Streptomyces
