81.8182	9	9	no rank	0	unclassified
18.1818	2	0	no rank	1	root
18.1818	2	0	no rank	131567	  cellular organisms
18.1818	2	0	superkingdom	2	    Bacteria
18.1818	2	0	clade	1783272	      Terrabacteria group
18.1818	2	0	phylum	201174	        Actinomycetota
18.1818	2	0	class	1760	          Actinomycetes
18.1818	2	0	order	85007	            Mycobacteriales
9.0909	1	0	family	1762	              Mycobacteriaceae
9.0909	1	1	genus	1763	                Mycobacterium
9.0909	1	0	family	85025	              Nocardiaceae
9.0909	1	1	genus	1827	                Rhodococcus
