50.0000	1	1	no rank	0	unclassified
50.0000	1	0	no rank	1	root
50.0000	1	0	no rank	131567	  cellular organisms
50.0000	1	0	superkingdom	2	    Bacteria
50.0000	1	0	clade	1783272	      Terrabacteria group
50.0000	1	0	phylum	201174	        Actinomycetota
50.0000	1	0	class	1760	          Actinomycetes
50.0000	1	0	order	85007	            Mycobacteriales
50.0000	1	0	family	1762	              Mycobacteriaceae
50.0000	1	0	genus	1763	                Mycobacterium
50.0000	1	1	species group	2249310	                  Mycobacterium simiae complex
