75.0000	9	9	no rank	0	unclassified
25.0000	3	0	no rank	1	root
25.0000	3	0	no rank	131567	  cellular organisms
25.0000	3	0	superkingdom	2	    Bacteria
25.0000	3	0	clade	1783272	      Terrabacteria group
25.0000	3	0	phylum	201174	        Actinomycetota
25.0000	3	0	class	1760	          Actinomycetes
25.0000	3	0	order	85007	            Mycobacteriales
25.0000	3	0	family	1762	              Mycobacteriaceae
16.6667	2	2	genus	1866885	                Mycolicibacterium
8.3333	1	0	genus	1763	                Mycobacterium
8.3333	1	1	no rank	2642494	                  unclassified Mycobacterium
